32154|Dick, Philip K. (1928-1982)|The Variable Man|PS|War stories; Science fiction; Weapons -- Fiction|32154.txt
32410|Dickson, Gordon R. (1923-2001)|No Shield from the Dead|PS|Short stories; Science fiction|32410.txt
32398|Diffin, Charles Willard (1884-1966)|"Brood of the Dark Moon  (A Sequel to ""Dark Moon"")"|PS|Science fiction|32398.txt
29202|Diffin, Charles Willard (1884-1966)|The Hammer of Thor|PS|Science fiction|29202.txt
29717|Diffin, Charles Willard (1884-1966)|The Finding of Haldgren|PS|Science fiction|29717.txt
29965|Diffin, Charles Willard (1884-1966)|Two Thousand Miles Below|PS|Science fiction|29965.txt
30911|Disch, Thomas M. (1940-2008)|The Demi-Urge|PS|Science fiction; Short stories|30911.txt
5155|Donnelly, Ignatius (1831-1901)|Cæsar's Column: A Story of the Twentieth Century|PS|New York (N.Y.) -- Fiction; Social problems -- Fiction; Dystopias -- Fiction; Twentieth century -- Fiction; Science fiction|5155-8.txt
23928|Donovan, Francis|The Short Life|PS|Short stories; Science fiction|23928.txt
23651|Douglas, Jack|Test Rocket!|PS|Science fiction; Short stories|23651.txt
27631|Douglas, Jack|Dead World|PS|Science fiction; Short stories|27631.txt
25295|Douglass, Ellsworth|Pharaoh's Broker Being the Very Remarkable Experiences in Another World of Isidor Werner|PR|Science fiction|25295.txt
126|Doyle, Arthur Conan (1859-1930)|The Poison Belt|PR|Challenger, Professor (Fictitious character) -- Fiction; Science fiction|126.txt
22357|Doyle, Arthur Conan (1859-1930)|Danger! and Other Stories|PR|Science fiction; Short stories, English|22357.txt
29794|Dryfoos, Dave (1915-2003)|Tree, Spare that Woodman|PS|Science fiction; Short stories|29794.txt
33969|Dryfoos, Dave (1915-2003)|New Hire|PS|Short stories; Science fiction|33969.txt
30416|Dryfoos, Dave (1915-2003)|Waste Not, Want|PS|Short stories; Science fiction|30416.txt
32737|Dryfoos, Dave (1915-2003)|Uniform of a Man|PS|Human-alien encounters -- Fiction; Short stories; Science fiction; Prisoners -- Fiction|32737.txt
8735|Dunn, Jonathan|The Revolutions of Time|PS|Science fiction|8735.txt
19964|Dye, Charles|Regeneration|PS|Science fiction|19964-8.txt
23762|Edmondson, G. C. (1922-1995)|Blessed Are the Meek|PS|Science fiction; Short stories|23762.txt
31597|Edrich, George|Out of the Earth|PS|Short stories; Science fiction; Civilization, Subterranean -- Fiction|31597.txt
26751|Egan, Jack|Cully|PS|Short stories; Psychological fiction; Science fiction|26751.txt
32427|Ellanby, Boyd|Category Phoenix|PS|Science fiction|32427.txt
30189|Ellanby, Boyd|Show Business|PS|Science fiction; Short stories|30189.txt
32208|Ellanby, Boyd|The Star Lord|PS|Space flight -- Fiction; Science fiction|32208.txt
29384|Endersby, Victor A. (1891-1988)|Disowned|PS|Science fiction; Short stories|29384-8.txt
7463|England, George Allan (1877-1936)|Darkness and Dawn|PS|Science fiction|7463.txt
12265|England, George Allan (1877-1936)|The Flying Legion|PS|Science fiction|12265.txt
12826|England, George Allan (1877-1936)|The Air Trust|PS|Monopolies -- Fiction; Science fiction|12826-8.txt
32905|Ernst, Paul (1899-1985)|Mask of Death|PS|Maine -- Fiction; Seaside resorts -- Fiction; Science fiction; Time -- Fiction|32905.txt
22171|Ernst, Paul (1899-1985)|The Radiant Shell|PS|Short stories; Science fiction|22171.txt
29771|Ernst, Paul (1899-1985)|The Planetoid of Peril|PS|Science fiction|29771.txt
30214|Ernst, Paul (1899-1985)|The Red Hell of Jupiter|PS|Jupiter (Planet) -- Fiction; Science fiction|30214.txt
27248|Ernst, Paul (1899-1985)|The Raid on the Termites|PS|Science fiction|27248.txt
31586|Evans, Dean|The Very Black|PS|Love stories; Test pilots -- Fiction; Short stories; Science fiction|31586.txt
19660|Evans, E. Everett (Edward Everett) (1893-1958)|Man of Many Minds|PS|Extraterrestrial beings -- Fiction; Science fiction, American|19660-8.txt
22754|Evans, E. Everett (Edward Everett) (1893-1958); Smith, E. E. (Edward Elmer) (1890-1965)|Masters of Space|PS|Science fiction|22754.txt
21582|Fahy, Patrick|The Mightiest Man|PS|Short stories; Science fiction|21582.txt
20856|Fairman, Paul W. (1916-1977)|Ten From Infinity|PS|Science fiction; Extraterrestrial beings -- Fiction|20856-8.txt
32705|Fairman, Paul W. (1916-1977)|Deadly City|PS|Chicago (Ill.) -- Fiction; Science fiction|32705.txt
32162|Fairman, Paul W. (1916-1977)|The Beasts in the Void|PS|Short stories; Science fiction|32162.txt
31262|Farmer, Philip José (1918-2009)|Rastignac the Devil|PS|Science fiction|31262-8.txt
29559|Farmer, Philip José (1918-2009)|They Twinkled Like Jewels|PS|Science fiction; Short stories|29559-8.txt
31962|Farrell, Joseph|The Ethical Way|PS|Short stories; Science fiction|31962.txt
31737|Fearing, Vern|The Sloths of Kruvny|PS|Science fiction; Humorous stories; Short stories|31737.txt
30267|Fehrenbach, T. R.|Remember the Alamo!|PS|Alamo (San Antonio, Tex.) -- Siege, 1836 -- Fiction; Science fiction; Time travel -- Fiction; Short stories|30267-8.txt
29140|Feldman, Arthur|The Mathematicians|PS|Science fiction; Short stories|29140.txt
28933|Ferlaine, J. Anthony|One Out of Ten|PS|Short stories; Science fiction|28933.txt
23535|Ferris, Benjamin|The Invaders|PS|Short stories; Horror tales; Science fiction|23535.txt
31897|Fisher, David E.|You Don't Make Wine Like the Greeks Did|PS|Man-woman relationships -- Fiction; Psychological fiction; Time travel -- Fiction; Science fiction|31897.txt
